purpose,2020
11110,4962.95809
11120,418.74298
11130,76.99
11182,515.51078
11220,15950.58739
11230,663.90183
11231,1022.99437
11240,1336.20034
11250,800
11320,2189.70162
11330,2070.55846
11420,4975.17165
11430,465.031
12110,17982.53656
12181,323.06594
12191,363.81726
12220,16458.64521
12230,1140.25928
12240,14035.79329
12250,1665.14267
12261,316.923
12262,1000
12263,1000
12264,11894.57803
12281,837.637
12340,20
12350,30
13010,500
13020,1773.779
13030,35
13040,2681.38086
13081,25.6
14010,210.24255
14015,43.196
14020,178
14021,191.478
14030,1123.722
14031,301.769
14032,342.07382
14081,1.1
15110,843.94761
15111,446.77017
15112,125
15113,800
15114,600
15130,364.5848
15131,300
15136,10
15137,7.96464
15150,18969.88518
15151,197.49486
15152,475
15153,12
15160,9794.35618
15170,6913.052
15180,11372.45518
15190,674.96428
15210,200
15220,9173.98572
15250,3330
16010,21609.89792
16020,704.37162
16040,10
16050,52.7
16061,5.71429
16064,374.189
16065,8
16066,4
21020,17.5
22040,22.46192
23183,27
23230,1500
24040,427.78
25010,843.95
25020,13.51011
25030,32.68878
31110,1298.79832
31120,8373.19625
31130,569.71
31140,4022.54426
31150,257.082
31161,2148.72215
31162,26
31163,43.1
31166,566.978
31181,266.638
31182,4529.94502
31191,63.4
31192,500
31194,489.38
31281,5.71429
31310,205.734
31320,9.74307
32130,136.61844
32140,190.034
32161,218.537
33110,500.2
33120,1580
33181,312
41010,4877.15846
41020,108.602
41030,1050
41040,13.3
41081,1045.16401
41082,2035
43010,6181.34817
43030,3448.491
43040,7793.08789
43050,100.6
43060,3160.19224
43071,1502.50001
43072,452.4
43081,10
43082,2973.70823
52010,526.50813
72010,73646.59633
72011,1867.367
72012,850
72040,5071.04588
72050,25848.25661
73010,856
91010,34914.95757
93010,33108.56047
99810,422566.6661
99820,6710.7435

